aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31960,0,112,0,5296,10414,67348,62508,18490,4048,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91220,2,28,4,10,31960,618,8108,10068,,,,17880,922.69,91220,91220,188,0,66,8660,90640,0,1209600,2090,0,0,0,52413.12,0,15618.24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,91220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,226,0,0,0,0,0,0,0,0,694,200,90,0,0,980,136,57940,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2594,26,14,0,0,0,0,0,0,862,99158,72452,990,0,0,82904,0,2150,0,0,0,185650,164734,44876,9230,0,0,0,0,34,4,0,0,0,0,0,0,0,42998,130464,0,1222,236,230,308,2654,168810,2,0,0,0,64888,82316,19796,4034,1066,418,282,656,6,0,230706,24,74,34,2,82904,2148,29470,15016,1310700,1310700,1310700,43840,2594.75,230706,230706,229078,728,0,22440,229380,173462,1209600,3258,0,14,0,129659.52,4505.28,38163.84,,,0,0,0,60772,90604,21060,762,236,28,0,10,22,230706,1138,46,5456,16820,18214,130620,1168,0,0,0,20,22,129160,43502,0,0,0,0,132114,370,138,0,4510,0,0,0,0,0,0,1428,300,64,0,0,3446,632,1400,140,0,0,0,0,1008670,,,45264,16968,8522,3296,12256,21396,39060,26486,214,0,0,0
616,58,54,0,0,0,0,0,7416,17236,64152,44914,13256,1702,0,57196,0,0,0,6294,13588,136622,111596,94768,14188,0,0,0,0,84,26,0,0,0,0,0,0,0,1906,146770,0,2346,798,1038,1276,2556,15156,117336,474,7696,0,120400,14674,6530,2680,1922,1588,592,280,10,0,237894,10,26,48,2,57196,1722,55302,38600,,,,93020,616.84,237894,237894,215114,318,0,22436,235860,149022,1209600,3290,0,28,0,44593.92,39909.12,64168.32,36,162,0,2462,22066,28644,59492,29046,6580,354,32,0,4,10,237894,2016,158,15780,7550,35102,39218,45420,3384,48,0,22,34,52318,8694,0,8,0,0,53560,530,478,0,0,160,55942,0,0,0,0,1732,282,38,0,0,1650,368,4580,1138,0,0,0,0,0,534.68,444,105492,17452,4630,2268,4594,2760,2108,9308,64,0,0,0
38352,424,326,0,0,0,0,0,0,2434,704548,1878362,398012,55124,30630,1345108,0,0,0,0,0,2554374,2005604,988022,432112,0,0,3936,0,1144,228,0,0,0,0,0,8080,1882366,774448,404216,0,6140,3470,4334,143902,1905392,1004830,1042,0,0,0,1558690,587642,217972,143828,108694,89532,114562,246306,1884,0,3543396,128,436,764,4,1345108,46560,534410,447978,320220,368840,,288160,38352.07,3543396,3543396,3497530,15763,63702,103146,1113600,3069110,1209600,82768,0,216,0,2429102.4,79481.28,555321.6,0,0,0,0,0,90274,1319296,1329654,298636,26188,4860,202,110,122,3543396,8140,900,35546,325266,199218,1897602,577182,25070,186,0,1018,652,1901204,130782,16,80042,0,0,2484058,3272,312,0,0,0,79506,0,0,0,0,27124,25634,6470,0,0,94790,18664,963420,221394,0,0,0,0,0,2054,2134,671578,606300,321688,171594,769070,518252,6012,2172,2444,0,0,0
59906,244,218,0,0,0,0,0,0,2026,232454,2323044,1019352,6230,0,1708140,0,0,0,0,0,3292954,2888420,483954,301362,0,0,0,0,262,92,0,0,0,0,0,12318,2928598,642190,0,0,4114,2130,3122,515328,2600502,457876,34,0,0,0,1268830,789906,324866,226770,227438,521016,224280,0,0,0,3778344,0,304,456,2,1708140,38120,233880,246044,120720,132760,202760,15420,59906.77,3778344,3778344,3763044,22840,7848,7148,135400,3583106,1209600,90058,4,82,0,3312997.44,0,266394.24,0,0,0,0,0,20042,809036,1672022,1003572,62232,13486,2716,30,64,3778344,7882,998,23382,139392,94072,2167954,1081820,66972,622,12,336,244,1283226,122902,0,211112,0,10,3346026,2896,294,0,0,0,0,0,0,0,0,25138,44772,10762,0,0,110658,13656,3094860,446168,0,0,0,0,201970,2283.7,2556,293740,531958,388810,220310,622412,906688,544758,73298,1132,0,0,0
34,12,4,0,0,0,0,0,0,388,4200,2744,0,0,0,2544,0,138,0,0,0,16330,14110,11698,454,0,0,0,0,10,58,0,0,0,0,0,0,0,0,7332,0,1104,14,16,28,18,128,6024,0,0,0,5076,824,240,342,136,108,464,46,86,10,28038,8,16,8,0,2544,200,10244,1446,,,,11520,33.69,28038,28038,30462,30,464,2710,27840,7384,1209600,400,0,4,0,3383.04,0,2932.8,0,16,0,0,40,2448,3272,1014,558,0,0,0,0,18,28038,1120,18,12,292,716,1034,3036,922,182,0,4,144,3242,408,0,14,0,0,3874,48,68,0,0,0,0,0,0,0,0,170,0,0,2136,676,124,30,2480,894,2,22,0,0,0,101.78,46,4128,2058,428,94,250,196,64,114,0,0,0,0
36496,298,290,0,0,0,0,0,0,156,105848,1583036,707928,17824,682,1062570,0,0,0,0,0,2056486,1696854,478150,301892,0,0,0,0,1266,270,0,0,0,0,0,0,657600,1757874,0,0,2052,804,1332,106360,1636698,667936,292,0,0,0,896288,585390,249106,161210,125054,106862,189250,102314,0,0,2535082,40,48,96,4,1062570,35988,225640,249746,205600,248360,,18680,36496.7,2535082,2535082,2520698,15369,1136,7226,110460,2415474,1209600,73436,0,46,0,2185961.28,0,227669.76,0,0,0,0,0,11058,527766,1432898,425672,14488,3386,206,20,26,2535082,3600,522,12774,111002,95488,1459264,719068,13660,96,0,456,516,2156740,17508,0,78,0,12,2201918,2132,74,0,0,0,0,0,0,0,0,19118,21558,3752,0,0,91230,18092,40960,11464,0,0,0,0,0,1078.06,1152,242704,519662,361686,156162,342440,326100,305252,132348,28168,952,0,0
94292,0,,0,0,0,0,0,4980,107030,1441114,3552742,351592,0,0,2663624,0,0,0,3022,3820,4873728,4374018,812658,423898,0,0,0,0,0,0,0,0,0,0,0,118270,2814656,1881280,643252,0,7198,8786,12504,25276,2151864,3236342,15480,8,0,0,2109444,756382,438216,312256,242052,245978,464932,731270,150560,6368,5690374,220,1840,3346,276,2663624,69692,454118,356092,174840,141880,162340,143860,94291.72,5690374,5690374,5660410,40936,309688,79296,841460,5457458,1209600,0,,,,5079271.68,0,372393.6,,,0,0,21080,485426,2530726,2225812,166354,22674,5332,54,,0,5690374,5254,820,163816,224888,282024,4293696,474916,12038,6,0,,,,,,,,,,2940,196,0,0,0,0,0,0,0,0,34952,93626,18924,0,0,189206,49130,6876480,1052308,0,0,0,0,8284440,,,403562,880670,761048,373664,686196,626624,696476,452318,549556,27344,0,0
41124,2130706432,802,0,0,0,0,0,0,342,253070,1986024,979084,72520,15386,1422030,0,0,0,0,0,2651286,2023128,924006,537248,0,0,84994,0,1234,250,0,0,0,0,0,301696,2346730,476450,181550,0,12954,10306,17146,38642,163474,3061574,2328,0,0,2,1434012,520680,205120,145302,117196,168380,252530,458648,4558,0,3576068,60,56,744,32,1422030,51750,415694,498264,296880,296280,,318500,41123.49,3576068,3576068,3465796,26464,1542,102270,1145940,3306426,1209600,120100,20,94,0,2791269.12,0,511595.52,318,1814,0,0,0,12410,496816,1457248,1243120,88334,8062,436,1412,2552,3576068,3550,742,206376,249504,2250622,594710,922,0,0,0,630,490,2394428,32422,4084,156254,0,10,2862986,2910,220,0,0,0,0,0,0,0,0,38202,71296,19552,12107162,1506088,64120,8076,9978080,1011868,329000,45166,0,0,102810,1357.44,1814,533474,806386,558422,320268,771710,302794,12488,834,50,0,0,0
16982,628,592,0,0,0,0,0,0,166,23600,976660,460648,74930,4212,638218,2182,0,0,0,0,1166202,830526,475464,290026,0,0,0,0,3130,214,0,0,0,0,0,2254,183706,1328678,25578,0,1172,520,830,33014,1106632,398040,8,0,0,0,738614,302848,130918,90020,65506,52888,74164,85258,0,0,1642012,40,38,80,82,638218,26328,161910,304238,337380,,,132360,16982.99,1642012,1642012,1629506,8088,9194,38832,427680,1540216,1209600,43456,2,50,0,1164656.64,0,374256.96,0,0,0,0,0,2104,342688,893104,283946,15644,2622,108,32,36,1642012,2806,370,17670,237982,132966,900170,240208,7792,252,0,848,626,818456,21130,0,756,0,34,1186630,1708,136,0,0,0,0,0,0,0,0,16294,6270,1216,0,0,41366,8664,1378460,196444,0,0,0,0,0,802.14,860,389616,402882,185420,79172,180574,151764,80850,39380,29664,894,0,0
